,service,flag,src_bytes,dst_bytes,count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_serror_rate,dst_host_srv_serror_rate,Label
10106,24,5,0,0,287,1,1,0.02,0.06,5,0.02,0.07,1,1,0
34076,4,5,0,0,228,1,1,0.08,0.04,19,0.07,0.05,1,1,0
40891,54,9,1752,328,1,0,0,1,0,193,0.95,0.1,0,0,4
119280,49,9,105,146,2,0,0,1,0,219,0.86,0.01,0,0,4
105881,24,9,300,1370,8,0,0,1,0,255,1,0,0,0,4
52830,54,9,1352,332,1,0,0,1,0,136,0.53,0.02,0,0,4
22824,49,5,0,0,268,1,1,0.04,0.04,10,0.04,0.05,1,1,0
82700,24,9,206,175,47,0.02,0.02,1,0,255,1,0,0.02,0.01,4
25649,54,9,1870,333,1,0,0,1,0,134,0.57,0.06,0,0,4
99993,24,9,299,1075,4,0,0,1,0,80,0.99,0.02,0,0,4
75522,15,9,1032,0,108,0,0,1,0,160,0.63,0.03,0.01,0,0
80686,20,1,0,0,467,0.07,0,0.03,0.97,12,0.05,0.96,0.08,0,1
26151,24,9,267,5147,18,0,0,1,0,255,1,0,0,0,4
89549,24,9,331,294,4,0,0,1,0,255,1,0,0,0,4
112870,24,9,328,367,31,0,0,1,0,255,1,0,0,0.01,4
35884,24,9,221,2444,3,0,0,1,0,255,1,0,0,0,4
105254,49,9,105,146,1,0,0,1,0,133,0.94,0.02,0,0,4
3876,55,5,0,0,13,1,1,0.38,0.23,5,0.02,0.08,1,1,0
17688,44,9,147,0,5,0,0,0.2,0.6,1,0,0.2,0,0,4
36395,0,4,576,6447,1,0,0,1,0,7,0.37,0.11,0.05,0.14,4
123196,24,9,256,418,20,0.05,0.05,1,0,255,1,0,0,0,4
5649,44,1,0,0,509,0.22,0,0,1,1,0,1,0.26,0,1
32693,20,9,245,0,2,0,0,1,0,10,0.06,0.03,0,0,4
13007,56,5,0,0,101,1,1,0.08,0.05,8,0.03,0.06,1,1,0
68466,14,9,8,0,1,0,0,1,0,85,1,0,0,0,1
119261,12,9,44,137,183,0,0,0.99,0.01,181,0.85,0.01,0,0,4
74899,66,2,0,0,108,0,0,0.03,0.07,3,0.01,0.06,0,0,0
330,49,1,0,0,2,0,0,0.5,1,1,0,0.6,0.01,0,1
96444,24,9,297,12884,10,0,0,1,0,71,1,0,0,0,4
23781,32,1,0,0,139,0,0,0.07,0.06,10,0.04,0.06,0,0,0
69510,24,9,309,303,1,0,0,1,0,255,1,0,0,0,4
5617,54,9,700,326,2,0,0,0.5,1,79,0.31,0.29,0,0,4
53291,29,1,0,0,233,0,0,0.06,0.07,13,0.05,0.09,0,0,0
13748,24,9,278,1564,8,0,0,1,0,255,1,0,0,0,4
82988,20,9,0,0,2,0,0,1,0,60,0.36,0.18,0,0,4
90444,65,9,182,0,3,0,0,0.33,1,5,0.02,0.01,0,0,4
81310,49,9,1,0,1,0,0,1,0,1,0,0.99,0.13,0,1
14989,15,9,520,0,457,0,0,1,0,223,1,0,0,0,0
5840,28,4,1,0,2,0,0,1,0,2,0.01,0.5,0,0,1
53300,5,5,0,0,216,1,1,0.11,0.06,23,0.09,0.06,1,1,0
2204,54,9,865,453,1,0,0,1,0,31,0.12,0.06,0.67,0,4
82122,14,9,8,0,1,0,0,1,0,110,1,0,0,0,1
111980,24,1,0,0,1,0,0,1,0,229,1,0,0,0,4
13462,24,9,209,577,10,0,0,1,0,255,1,0,0,0,4
74774,24,9,239,8412,15,0,0,1,0,255,1,0,0,0,4
53586,24,9,222,367,5,0,0,1,0,255,1,0,0,0,4
56367,24,9,317,351,1,0,0,1,0,255,1,0,0,0.01,4
88277,24,9,211,9683,1,0,0,1,0,255,1,0,0,0,4
21711,14,9,18,0,1,0,0,1,0,153,1,0,0,0,1
80815,24,9,244,343,9,0,0,1,0,255,1,0,0,0,4
27622,49,5,0,0,136,1,1,0.12,0.05,14,0.05,0.07,1,1,0
21634,24,1,0,0,1,0,0,1,0,252,1,0,0,0,4
113756,24,9,203,320,38,0,0,1,0,255,1,0,0.01,0,4
109007,54,9,1405,328,1,0,0,1,0,165,0.69,0.03,0,0,4
94075,54,9,986,328,1,0,0,1,0,170,0.66,0.07,0,0,4
27618,43,9,48,48,2,0,0,1,0,234,0.92,0.01,0,0,4
12142,20,9,641,0,2,0,0,1,0,112,0.78,0.03,0,0,4
18593,49,4,1,0,2,0,0,1,0,2,0.01,0.26,0,0,1
100539,6,5,0,0,128,1,1,0.04,0.06,1,0,0.06,1,1,0
67576,14,9,8,0,1,0,0,1,0,51,1,0,0,0,1
36716,20,9,334,0,1,0,0,1,0,70,0.27,0.13,0.02,0.01,2
52350,14,9,8,0,1,0,0,1,0,64,1,0,0,0,1
40609,24,9,259,5930,2,0,0,1,0,255,1,0,0,0,4
25428,5,5,0,0,129,1,1,0.05,0.07,6,0.02,0.07,1,1,0
68319,24,9,340,2767,3,0,0,1,0,255,1,0,0,0,4
15333,33,5,0,0,221,1,1,0.04,0.05,8,0.03,0.06,1,1,0
35695,49,4,0,0,1,0,0,1,0,1,0,0.71,0,0,1
46841,49,9,28,0,28,0,0,1,0,28,0.12,0.68,0.02,0,0
74046,24,9,257,256,1,0,0,1,0,255,1,0,0,0,4
8435,18,5,0,0,25,1,1,0.16,0.16,53,0.21,0.04,1,1,0
113792,42,5,0,0,36,1,1,0.47,0.14,17,0.07,0.07,1,1,0
16864,49,5,0,0,261,1,1,0.03,0.06,12,0.05,0.07,1,1,0
65397,11,1,0,0,268,0,0,0.05,0.07,14,0.05,0.08,0,0,0
113828,24,9,312,26946,2,0,0,1,0,111,1,0,0,0,4
121318,54,9,13425,1431,1,0,0,1,0,137,0.49,0.01,0,0,4
2761,11,5,0,0,237,1,1,0.08,0.07,20,0.08,0.07,1,1,0
15785,24,9,226,1705,7,0,0,1,0,255,1,0,0,0,4
61007,38,5,0,0,299,1,1,0.02,0.06,7,0.03,0.07,1,1,0
75501,49,9,1,0,157,0,0,0.87,0.03,174,0.68,0.04,0,0,1
4420,66,5,0,0,117,1,1,0.1,0.06,12,0.05,0.06,1,1,0
7452,2,5,0,0,261,1,1,0.06,0.06,16,0.06,0.07,1,1,0
32393,35,5,0,0,220,1,1,0.07,0.06,16,0.06,0.08,1,1,0
48659,24,9,236,870,20,0,0,1,0,255,1,0,0,0,4
59950,24,9,235,4768,6,0,0,1,0,255,1,0,0,0,4
115153,41,5,0,0,144,1,1,0.1,0.06,15,0.06,0.06,1,1,0
39442,24,9,204,255,6,0,0,1,0,255,1,0,0,0.01,4
70043,20,9,151,0,1,0,0,1,0,94,0.92,0.17,0,0,4
67735,44,9,147,105,1,0,0,1,0,1,0,0.72,0,0,4
46736,24,9,245,5653,1,0,0,1,0,255,1,0,0.25,0,4
71546,12,9,43,134,53,0,0,1,0,200,0.86,0.02,0,0,4
124762,24,9,214,283,17,0,0,1,0,255,1,0,0,0,4
67043,24,9,222,20779,14,0,0,1,0,255,1,0,0,0,4
113259,49,1,0,0,203,0,0,0.1,0.07,20,0.08,0.08,0,0,0
95584,20,9,1376,0,8,0,0,1,0,74,0.33,0.05,0,0,4
70707,12,9,45,80,263,0,0,1,0,222,0.87,0.01,0,0,4
7417,24,9,223,188,4,0,0,1,0,255,1,0,0,0,4
21340,49,5,0,0,124,1,1,0.06,0.07,8,0.03,0.09,1,1,0
58901,24,9,193,472,4,0,0,1,0,255,1,0,0,0,4
39583,49,5,0,0,130,1,1,0.18,0.05,23,0.09,0.04,1,1,0
75922,19,9,1208,2449,1,0,0,1,0,101,0.4,0.02,0,0,2
63005,18,5,0,0,3,0.33,1,0.33,1,2,0.12,0.19,0.12,1,0
25472,24,9,278,7285,12,0,0,1,0,255,1,0,0,0,4
6182,12,9,44,80,121,0,0,1,0,255,1,0,0,0,4
33115,49,1,0,0,511,0.09,0,0,1,1,0,1,0.14,0,1
85246,24,9,338,824,9,0,0,1,0,255,1,0,0,0,4
32220,12,9,43,133,280,0,0,1,0.01,210,0.86,0.01,0,0,4
124491,49,9,28,0,9,0,0,1,0,9,0.04,0.01,0,0,0
101633,18,5,0,0,64,1,1,0.28,0.06,59,0.23,0.04,1,1,0
86226,49,9,1,0,24,0,0,0.46,0.08,50,0.2,0.25,0,0,1
120107,14,9,30,0,6,0,0,0.17,0.5,4,0.02,0.01,0,0,4
